Link,Title,Location,Summary
https://kr.indeed.com/viewjob?jk=2a97fd806d642347,정규직/병역특례전문요원 단말 에이전트 개발자 신입/경력,서울 양재동,"응용 프로그램(Android 및 Linux) 개발 [기본사항] - 신입/경력 2년 [자격요건] - C/C++, Java 중 하나 이상의 개발 가능자 [우대사항] - Linux 경험자 - 안드로이드 개발 경험자..."
https://kr.indeed.com/viewjob?jk=602e624b49253ef4,Java 웹 플랫폼 서비스 개발자 모집,성남 판교역,"기본 설계를 바탕으로 프로그램의 기본적인 프레임워크를 구현하고, 완성도 향상을 위한 테스트 및 튜닝을 한다. c.요구사항 정의 및 분석 기획/사업/서비스적인 요구 사항을 리스트업하고 기술적인 분석과 설계를 하여 스펙을 정한..."
https://kr.indeed.com/viewjob?jk=fe82ce864ae6c2cc,부천삼성정형외과의원 간호조무사,경기도 부천,"식사 제공, 장기근속자 포상 -정형외과 진료 원장님이 2명입니다..(외래 간호인원은 4명입니다.) -접수 및 C-arm은 직원이 따로 있어서 외래 진료보조업무만 하시면 됩니다. 이외의 조건은 협의 가능합니다. 기타 궁금사항은..."
https://kr.indeed.com/viewjob?jk=5e7cd775fe8875c5,Export Logistics Coordinator,서울,Trade net Declaration for Import & Export Understanding of L/ C Terms & Bank Negotiation Good Microsoft Office Skills in Excel...
https://kr.indeed.com/viewjob?jk=8f5352fd60739ff3,(주)앤다스 연구원(소프트웨어 개발자),서울 송파구,"모집부문 및 자격요건 담당업무 자격요건 인원 [담당업무]SW 개발(리눅스/윈도우/임베디드/영상처리/인공지능)ㆍ C/C++/C# 프로그램 개발[근무부서 및 직급/직책]근무부서: 연구소 [자격요건]경력사항: 신입, 경력(연차무관..."
https://kr.indeed.com/viewjob?jk=d3a6e3e7916128f6,[취업경력개발팀] 2022년도 1학기 교내인턴장학생,서울 노원구,"발급되고 1회당 1시간 근로로 인정 (최대 1시간 근로 인정, 일반 C급 기준으로 100시간에 포함) 나. 취업경력개발팀에서 진행하는 프로그램... 2명 나. 근무유형 : 일반 C (100시간-916,800원) ※고용노..."
https://kr.indeed.com/viewjob?jk=b18e1864e32e34b5,[EY한영] 감사본부 Climate Change and Sustainability Service팀 ESG 인...,서울 영등포구,"Responsibilities, Qualifications, Certifications - Internal The exceptional EY experience... yours to build. EY는 전 세계..."
https://kr.indeed.com/viewjob?jk=2f97cf678e2a6a78,"C·C++, C# 외 경력 정규직, 프리랜서",서울 용산구,사용 경험 - Docker 사용 경험 - Linux 사용 경험 인터넷·IT·통신·모바일·게임>응용프로그래머> C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머>C#|인터넷·IT·통신·모바일·게임>응용프로그래머>Linux
https://kr.indeed.com/viewjob?jk=,,서울 중구,"의류 쇼핑몰 C/S,상담원,콜센터,MD지원,물류지원 상담사모집 모집부문 및 자격요건 모집부문 담당업무 자격요건 인원 C/S 고객상담전화상담CS(콜센터)온라인MD·AMD상담원 [담당업무]담당업무ㆍ의류쇼핑몰 C/S 전화상담 업무..."
https://kr.indeed.com/viewjob?jk=,,서울 성동구,선택]B-1) Git 사용에 능숙한 자B-2) 팀원과의 소통을 통해 문제해결을 원활히 할 수 있는 자격B-3) C/C++ 언어에 능숙한 자B-4) 적극적이고 밝은 성격의 소유자로 맡은 업무 완수를 잘 하는 사람B-5) 동료들...
